RISC %,TIS,SIMD,Total
1,1,0.833333333333333,0.933333333333333
1,1,0.833333333333333,0.933333333333333
1,1,0.833333333333333,0.933333333333333
0.95,0.854220990873533,0.791666666666667,0.867510864841373
0.95,0.854220990873533,0.791666666666667,0.867510864841373
0.95,0.854220990873533,0.791666666666667,0.867510864841373
0.875,0.625086705895263,0.708333333333333,0.758350674512386
0.875,0.625086705895263,0.708333333333333,0.758350674512386
0.875,0.625086705895263,0.708333333333333,0.758350674512386
0.9,0.717402280275351,0.708333333333333,0.786813789388404
0.9,0.717402280275351,0.708333333333333,0.786813789388404
0.9,0.717402280275351,0.708333333333333,0.786813789388404
0.975,1,0.75,0.89
0.975,1,0.75,0.89
0.975,1,0.75,0.89
1,0.922957443335703,0.791666666666667,0.901258155333807
1,0.922957443335703,0.791666666666667,0.901258155333807
1,0.922957443335703,0.791666666666667,0.901258155333807
0.975,0.884460428708845,0.625,0.816892085741769
0.975,0.884460428708845,0.625,0.816892085741769
0.975,0.884460428708845,0.625,0.816892085741769
0.875,0.442779226423294,0.583333333333333,0.671889178617992
0.875,0.442779226423294,0.583333333333333,0.671889178617992
0.875,0.442779226423294,0.583333333333333,0.671889178617992
0.875,0.442779226423294,0.583333333333333,0.671889178617992
0.825,0.854220990873533,0.333333333333333,0.63417753150804
0.825,0.854220990873533,0.333333333333333,0.63417753150804
0.825,0.789499157638828,0.666666666666667,0.754566498194432
0.825,0.789499157638828,0.666666666666667,0.754566498194432
0.825,0.789499157638828,0.666666666666667,0.754566498194432
0.925,1,0.75,0.87
0.925,1,0.75,0.87
0.925,1,0.75,0.87
0.925,1,0.75,0.87
0.875,0.854220990873533,0.625,0.770844198174707
0.875,0.854220990873533,0.625,0.770844198174707
0.875,0.854220990873533,0.625,0.770844198174707
0.975,0.964137331594959,0.958333333333333,0.966160799652325
0.975,0.964137331594959,0.958333333333333,0.966160799652325
0.975,0.843766474484395,1,0.958753294896879
0.975,0.843766474484395,1,0.958753294896879
0.9,0.906822033898305,0.708333333333333,0.824697740112994
0.9,0.906822033898305,0.708333333333333,0.824697740112994
0.9,0.906822033898305,0.708333333333333,0.824697740112994
0.975,1,0.958333333333333,0.973333333333333
0.975,1,0.958333333333333,0.973333333333333
0.975,1,0.958333333333333,0.973333333333333
0.9,1,0.708333333333333,0.843333333333333
0.9,1,0.708333333333333,0.843333333333333
0.9,1,0.708333333333333,0.843333333333333
0.1,0,0.375,0.19
0.975,0,0,0.39
0.65,0.846963322415044,0.791666666666667,0.746059331149675
0.65,0.846963322415044,0.791666666666667,0.746059331149675
0.65,0.846963322415044,0.791666666666667,0.746059331149675
0.65,0.846963322415044,0.791666666666667,0.746059331149675
0.85,0.916714471968709,0.875,0.873342894393742
0.85,0.916714471968709,0.875,0.873342894393742
0.85,0.916714471968709,0.875,0.873342894393742
0.975,0.353367951140387,0.625,0.710673590228077
0.975,0.353367951140387,0.625,0.710673590228077
0.975,0.866074008573479,0.791666666666667,0.879881468381362
0.975,0.866074008573479,0.791666666666667,0.879881468381362
0.975,0.866074008573479,0.791666666666667,0.879881468381362
0.975,0.855134789482794,0.708333333333333,0.844360291229892
0.975,0.855134789482794,0.708333333333333,0.844360291229892
0.975,0.855134789482794,0.708333333333333,0.844360291229892
0.975,0.855134789482794,0.708333333333333,0.844360291229892
0.975,0,0.416666666666667,0.556666666666667
0.975,0.902043676662321,0.875,0.920408735332464
0.975,0.902043676662321,0.875,0.920408735332464
0.975,0.902043676662321,0.875,0.920408735332464
0.925,0.922606475445459,0.916666666666667,0.921187961755759
0.925,0.922606475445459,0.916666666666667,0.921187961755759
0.925,0.922606475445459,0.916666666666667,0.921187961755759
0.875,0.67057171927204,1,0.884114343854408
0.875,0.67057171927204,1,0.884114343854408
0.875,0.67057171927204,1,0.884114343854408
0.5715,0.835113881888174,0.75,0.695622776377635
0.775,0,0,0.31
0.775,0.643550420048267,0.75,0.738710084009653
0.25,0,0.375,0.25
0.8,0,0,0.32
1,0.766662156319706,0.875,0.903332431263941
1,0.766662156319706,0.875,0.903332431263941
1,0.766662156319706,0.875,0.903332431263941
0.775,0,0.729166666666667,0.601666666666667
0.775,0,0.729166666666667,0.601666666666667
0.775,0,0.729166666666667,0.601666666666667
0.775,0,0.729166666666667,0.601666666666667
0.775,0.786983332510785,0.625,0.717396666502157
0.775,0.786983332510785,0.625,0.717396666502157
0.925,0.812036955411771,0.708333333333333,0.815740724415688
0.925,0.812036955411771,0.708333333333333,0.815740724415688
0.925,0.812036955411771,0.708333333333333,0.815740724415688
